chr	start	end	pos
3	7675000	7700000	1
3	7700000	7725000	2
3	7750000	7775000	3
3	7775000	7800000	4
3	7800000	7825000	5
3	7875000	7900000	6
3	7900000	7925000	7
3	7925000	7950000	8
3	7950000	7975000	9
3	7975000	8000000	10
3	8000000	8025000	11
3	8025000	8050000	12
3	8050000	8075000	13
3	8075000	8100000	14
3	8100000	8125000	15
3	8125000	8150000	16
3	8150000	8175000	17
3	8200000	8225000	18
3	8225000	8250000	19
3	8250000	8275000	20
3	8275000	8300000	21
3	8300000	8325000	22
3	8350000	8375000	23
3	8375000	8400000	24
3	8400000	8425000	25
3	8450000	8475000	26
3	8475000	8500000	27
3	8500000	8525000	28
3	8525000	8550000	29
3	8550000	8575000	30
3	8575000	8600000	31
3	8600000	8625000	32
3	8625000	8650000	33
3	8650000	8675000	34
3	8675000	8700000	35
3	8700000	8725000	36
3	8725000	8750000	37
3	8750000	8775000	38
3	8775000	8800000	39
3	8800000	8825000	40
3	8825000	8850000	41
3	8850000	8875000	42
3	8875000	8900000	43
3	8900000	8925000	44
3	8925000	8950000	45
3	8950000	8975000	46
3	8975000	9000000	47
3	9000000	9025000	48
3	9025000	9050000	49
3	9050000	9075000	50
3	9075000	9100000	51
3	9100000	9125000	52
3	9125000	9150000	53
3	9150000	9175000	54
3	9175000	9200000	55
3	9200000	9225000	56
3	9225000	9250000	57
3	9250000	9275000	58
3	9275000	9300000	59
3	9300000	9325000	60
