chr	start	end	pos
11	97425000	97450000	1
11	97450000	97475000	2
11	97475000	97500000	3
11	97500000	97525000	4
11	97525000	97550000	5
11	97550000	97575000	6
11	97575000	97600000	7
11	97600000	97625000	8
11	97625000	97650000	9
11	97650000	97675000	10
11	97675000	97700000	11
11	97700000	97725000	12
11	97725000	97750000	13
11	97750000	97775000	14
11	97775000	97800000	15
11	97800000	97825000	16
11	97825000	97850000	17
11	97850000	97875000	18
11	97875000	97900000	19
11	97900000	97925000	20
11	97925000	97950000	21
11	97950000	97975000	22
11	97975000	98000000	23
11	98000000	98025000	24
11	98025000	98050000	25
11	98050000	98075000	26
11	98075000	98100000	27
11	98100000	98125000	28
11	98125000	98150000	29
11	98150000	98175000	30
11	98175000	98200000	31
11	98200000	98225000	32
11	98225000	98250000	33
11	98250000	98275000	34
11	98275000	98300000	35
11	98300000	98325000	36
11	98325000	98350000	37
11	98350000	98375000	38
11	98375000	98400000	39
11	98400000	98425000	40
11	98425000	98450000	41
11	98450000	98475000	42
11	98475000	98500000	43
11	98500000	98525000	44
11	98525000	98550000	45
11	98550000	98575000	46
11	98575000	98600000	47
11	98600000	98625000	48
11	98625000	98650000	49
11	98650000	98675000	50
11	98675000	98700000	51
11	98700000	98725000	52
11	98725000	98750000	53
11	98750000	98775000	54
11	98775000	98800000	55
11	98800000	98825000	56
11	98825000	98850000	57
11	98850000	98875000	58
11	98875000	98900000	59
11	98900000	98925000	60
