chr	start	end	pos
9	119300000	119325000	1
9	119325000	119350000	2
9	119350000	119375000	3
9	119375000	119400000	4
9	119400000	119425000	5
9	119425000	119450000	6
9	119450000	119475000	7
9	119475000	119500000	8
9	119500000	119525000	9
9	119525000	119550000	10
9	119550000	119575000	11
9	119575000	119600000	12
9	119600000	119625000	13
9	119625000	119650000	14
9	119650000	119675000	15
9	119675000	119700000	16
9	119700000	119725000	17
9	119725000	119750000	18
9	119750000	119775000	19
9	119775000	119800000	20
9	119800000	119825000	21
9	119825000	119850000	22
9	119850000	119875000	23
9	119875000	119900000	24
9	119900000	119925000	25
9	119925000	119950000	26
9	119950000	119975000	27
9	119975000	120000000	28
9	120000000	120025000	29
9	120025000	120050000	30
9	120050000	120075000	31
9	120075000	120100000	32
9	120100000	120125000	33
9	120125000	120150000	34
9	120150000	120175000	35
9	120175000	120200000	36
9	120200000	120225000	37
9	120225000	120250000	38
9	120250000	120275000	39
9	120275000	120300000	40
9	120300000	120325000	41
9	120325000	120350000	42
9	120350000	120375000	43
9	120375000	120400000	44
9	120400000	120425000	45
9	120425000	120450000	46
9	120450000	120475000	47
9	120475000	120500000	48
9	120500000	120525000	49
9	120525000	120550000	50
9	120550000	120575000	51
9	120575000	120600000	52
9	120600000	120625000	53
9	120625000	120650000	54
9	120650000	120675000	55
9	120675000	120700000	56
9	120700000	120725000	57
9	120725000	120750000	58
9	120750000	120775000	59
9	120775000	120800000	60
