chr	start	end	pos
1	135600000	135625000	1
1	135625000	135650000	2
1	135650000	135675000	3
1	135675000	135700000	4
1	135700000	135725000	5
1	135725000	135750000	6
1	135750000	135775000	7
1	135775000	135800000	8
1	135800000	135825000	9
1	135825000	135850000	10
1	135850000	135875000	11
1	135875000	135900000	12
1	135900000	135925000	13
1	135925000	135950000	14
1	135950000	135975000	15
1	135975000	136000000	16
1	136000000	136025000	17
1	136025000	136050000	18
1	136050000	136075000	19
1	136075000	136100000	20
1	136100000	136125000	21
1	136125000	136150000	22
1	136150000	136175000	23
1	136175000	136200000	24
1	136200000	136225000	25
1	136225000	136250000	26
1	136250000	136275000	27
1	136275000	136300000	28
1	136300000	136325000	29
1	136325000	136350000	30
1	136350000	136375000	31
1	136375000	136400000	32
1	136400000	136425000	33
1	136425000	136450000	34
1	136450000	136475000	35
1	136475000	136500000	36
1	136500000	136525000	37
1	136525000	136550000	38
1	136550000	136575000	39
1	136575000	136600000	40
1	136600000	136625000	41
1	136625000	136650000	42
1	136650000	136675000	43
1	136675000	136700000	44
1	136700000	136725000	45
1	136725000	136750000	46
1	136750000	136775000	47
1	136775000	136800000	48
1	136800000	136825000	49
1	136825000	136850000	50
1	136850000	136875000	51
1	136875000	136900000	52
1	136900000	136925000	53
1	136925000	136950000	54
1	136950000	136975000	55
1	136975000	137000000	56
1	137000000	137025000	57
1	137025000	137050000	58
1	137050000	137075000	59
1	137075000	137100000	60
