chr	start	end	pos
19	12550000	12575000	1
19	12575000	12600000	2
19	12600000	12625000	3
19	12625000	12650000	4
19	12650000	12675000	5
19	12675000	12700000	6
19	12700000	12725000	7
19	12725000	12750000	8
19	12750000	12775000	9
19	12775000	12800000	10
19	12800000	12825000	11
19	12825000	12850000	12
19	12850000	12875000	13
19	12875000	12900000	14
19	12975000	13000000	15
19	13050000	13075000	16
19	13150000	13175000	17
19	13175000	13200000	18
19	13375000	13400000	19
19	13700000	13725000	20
19	13775000	13800000	21
19	13800000	13825000	22
19	13825000	13850000	23
19	13925000	13950000	24
19	13975000	14000000	25
19	14025000	14050000	26
19	14050000	14075000	27
19	14075000	14100000	28
19	14100000	14125000	29
19	14125000	14150000	30
19	14150000	14175000	31
19	14175000	14200000	32
19	14200000	14225000	33
19	14225000	14250000	34
19	14250000	14275000	35
19	14275000	14300000	36
19	14300000	14325000	37
19	14325000	14350000	38
19	14350000	14375000	39
19	14375000	14400000	40
19	14400000	14425000	41
19	14425000	14450000	42
19	14450000	14475000	43
19	14475000	14500000	44
19	14500000	14525000	45
19	14525000	14550000	46
19	14550000	14575000	47
19	14575000	14600000	48
19	14600000	14625000	49
19	14625000	14650000	50
19	14650000	14675000	51
19	14675000	14700000	52
19	14700000	14725000	53
19	14725000	14750000	54
19	14750000	14775000	55
19	14775000	14800000	56
19	14800000	14825000	57
19	14825000	14850000	58
19	14850000	14875000	59
19	14875000	14900000	60
