chr	start	end	pos
2	109000000	109025000	1
2	109025000	109050000	2
2	109050000	109075000	3
2	109075000	109100000	4
2	109100000	109125000	5
2	109125000	109150000	6
2	109150000	109175000	7
2	109175000	109200000	8
2	109200000	109225000	9
2	109225000	109250000	10
2	109250000	109275000	11
2	109275000	109300000	12
2	109300000	109325000	13
2	109325000	109350000	14
2	109350000	109375000	15
2	109375000	109400000	16
2	109400000	109425000	17
2	109425000	109450000	18
2	109475000	109500000	19
2	109500000	109525000	20
2	109525000	109550000	21
2	109550000	109575000	22
2	109575000	109600000	23
2	109600000	109625000	24
2	109625000	109650000	25
2	109650000	109675000	26
2	109675000	109700000	27
2	109700000	109725000	28
2	109725000	109750000	29
2	109750000	109775000	30
2	109775000	109800000	31
2	109800000	109825000	32
2	109825000	109850000	33
2	109850000	109875000	34
2	109875000	109900000	35
2	109900000	109925000	36
2	109925000	109950000	37
2	109950000	109975000	38
2	109975000	110000000	39
2	110000000	110025000	40
2	110025000	110050000	41
2	110050000	110075000	42
2	110075000	110100000	43
2	110125000	110150000	44
2	110150000	110175000	45
2	110175000	110200000	46
2	110200000	110225000	47
2	110225000	110250000	48
2	110250000	110275000	49
2	110275000	110300000	50
2	110300000	110325000	51
2	110325000	110350000	52
2	110350000	110375000	53
2	110375000	110400000	54
2	110400000	110425000	55
2	110425000	110450000	56
2	110475000	110500000	57
2	110500000	110525000	58
2	110525000	110550000	59
2	110550000	110575000	60
