chr	start	end	pos
17	62425000	62450000	1
17	62450000	62475000	2
17	62475000	62500000	3
17	62500000	62525000	4
17	62525000	62550000	5
17	62550000	62575000	6
17	62575000	62600000	7
17	62600000	62625000	8
17	62625000	62650000	9
17	62650000	62675000	10
17	62675000	62700000	11
17	62700000	62725000	12
17	62725000	62750000	13
17	62750000	62775000	14
17	62775000	62800000	15
17	62800000	62825000	16
17	62825000	62850000	17
17	62850000	62875000	18
17	62875000	62900000	19
17	62900000	62925000	20
17	62925000	62950000	21
17	62950000	62975000	22
17	62975000	63000000	23
17	63000000	63025000	24
17	63025000	63050000	25
17	63050000	63075000	26
17	63075000	63100000	27
17	63100000	63125000	28
17	63125000	63150000	29
17	63150000	63175000	30
17	63175000	63200000	31
17	63200000	63225000	32
17	63225000	63250000	33
17	63250000	63275000	34
17	63275000	63300000	35
17	63300000	63325000	36
17	63325000	63350000	37
17	63350000	63375000	38
17	63375000	63400000	39
17	63400000	63425000	40
17	63425000	63450000	41
17	63450000	63475000	42
17	63475000	63500000	43
17	63500000	63525000	44
17	63525000	63550000	45
17	63550000	63575000	46
17	63575000	63600000	47
17	63600000	63625000	48
17	63625000	63650000	49
17	63650000	63675000	50
17	63675000	63700000	51
17	63700000	63725000	52
17	63725000	63750000	53
17	63750000	63775000	54
17	63775000	63800000	55
17	63800000	63825000	56
17	63825000	63850000	57
17	63850000	63875000	58
17	63875000	63900000	59
17	63900000	63925000	60
