chr	start	end	pos
5	131400000	131425000	1
5	131425000	131450000	2
5	131450000	131475000	3
5	131475000	131500000	4
5	131500000	131525000	5
5	131525000	131550000	6
5	131550000	131575000	7
5	131575000	131600000	8
5	131600000	131625000	9
5	131625000	131650000	10
5	131650000	131675000	11
5	131675000	131700000	12
5	131700000	131725000	13
5	131725000	131750000	14
5	131750000	131775000	15
5	131775000	131800000	16
5	131800000	131825000	17
5	131825000	131850000	18
5	131850000	131875000	19
5	131875000	131900000	20
5	131900000	131925000	21
5	131925000	131950000	22
5	131950000	131975000	23
5	131975000	132000000	24
5	132000000	132025000	25
5	132025000	132050000	26
5	132050000	132075000	27
5	132075000	132100000	28
5	132100000	132125000	29
5	132125000	132150000	30
5	132150000	132175000	31
5	132175000	132200000	32
5	132200000	132225000	33
5	132225000	132250000	34
5	132250000	132275000	35
5	132275000	132300000	36
5	132300000	132325000	37
5	132325000	132350000	38
5	132350000	132375000	39
5	132375000	132400000	40
5	132400000	132425000	41
5	132425000	132450000	42
5	132450000	132475000	43
5	132475000	132500000	44
5	132500000	132525000	45
5	132525000	132550000	46
5	132550000	132575000	47
5	132575000	132600000	48
5	132600000	132625000	49
5	132625000	132650000	50
5	132650000	132675000	51
5	132675000	132700000	52
5	132700000	132725000	53
5	132725000	132750000	54
5	132750000	132775000	55
5	132775000	132800000	56
5	132800000	132825000	57
5	132825000	132850000	58
5	132850000	132875000	59
5	132875000	132900000	60
