chr	start	end	pos
15	61000000	61025000	1
15	61025000	61050000	2
15	61050000	61075000	3
15	61100000	61125000	4
15	61125000	61150000	5
15	61150000	61175000	6
15	61175000	61200000	7
15	61200000	61225000	8
15	61225000	61250000	9
15	61250000	61275000	10
15	61275000	61300000	11
15	61300000	61325000	12
15	61325000	61350000	13
15	61350000	61375000	14
15	61375000	61400000	15
15	61400000	61425000	16
15	61425000	61450000	17
15	61450000	61475000	18
15	61475000	61500000	19
15	61500000	61525000	20
15	61525000	61550000	21
15	61550000	61575000	22
15	61575000	61600000	23
15	61600000	61625000	24
15	61625000	61650000	25
15	61650000	61675000	26
15	61675000	61700000	27
15	61700000	61725000	28
15	61725000	61750000	29
15	61750000	61775000	30
15	61775000	61800000	31
15	61800000	61825000	32
15	61825000	61850000	33
15	61850000	61875000	34
15	61875000	61900000	35
15	61900000	61925000	36
15	61925000	61950000	37
15	61950000	61975000	38
15	61975000	62000000	39
15	62000000	62025000	40
15	62025000	62050000	41
15	62050000	62075000	42
15	62075000	62100000	43
15	62100000	62125000	44
15	62125000	62150000	45
15	62150000	62175000	46
15	62175000	62200000	47
15	62200000	62225000	48
15	62225000	62250000	49
15	62250000	62275000	50
15	62275000	62300000	51
15	62300000	62325000	52
15	62325000	62350000	53
15	62350000	62375000	54
15	62375000	62400000	55
15	62400000	62425000	56
15	62425000	62450000	57
15	62450000	62475000	58
15	62475000	62500000	59
15	62500000	62525000	60
