chr	start	end	pos
16	90500000	90525000	1
16	90525000	90550000	2
16	90550000	90575000	3
16	90575000	90600000	4
16	90600000	90625000	5
16	90625000	90650000	6
16	90650000	90675000	7
16	90675000	90700000	8
16	90700000	90725000	9
16	90725000	90750000	10
16	90750000	90775000	11
16	90775000	90800000	12
16	90800000	90825000	13
16	90825000	90850000	14
16	90850000	90875000	15
16	90875000	90900000	16
16	90900000	90925000	17
16	90925000	90950000	18
16	90950000	90975000	19
16	90975000	91000000	20
16	91000000	91025000	21
16	91025000	91050000	22
16	91050000	91075000	23
16	91075000	91100000	24
16	91100000	91125000	25
16	91125000	91150000	26
16	91150000	91175000	27
16	91175000	91200000	28
16	91200000	91225000	29
16	91225000	91250000	30
16	91250000	91275000	31
16	91275000	91300000	32
16	91300000	91325000	33
16	91325000	91350000	34
16	91350000	91375000	35
16	91375000	91400000	36
16	91400000	91425000	37
16	91425000	91450000	38
16	91450000	91475000	39
16	91475000	91500000	40
16	91500000	91525000	41
16	91525000	91550000	42
16	91550000	91575000	43
16	91575000	91600000	44
16	91600000	91625000	45
16	91625000	91650000	46
16	91650000	91675000	47
16	91675000	91700000	48
16	91700000	91725000	49
16	91725000	91750000	50
16	91750000	91775000	51
16	91775000	91800000	52
16	91800000	91825000	53
16	91825000	91850000	54
16	91850000	91875000	55
16	91875000	91900000	56
16	91900000	91925000	57
16	91925000	91950000	58
16	91950000	91975000	59
16	91975000	92000000	60
