chromID	cell_id	pos	x	y	z
19	3866	2	168416.402306	11148.8278925	2482.672706
19	3866	3	168354.855274	11315.6570955	2435.51242525
19	3866	4	168293.229859	11391.6697153	2305.96232375
19	3866	5	168650.21900100002	11049.6211353	2278.69953825
19	3866	8	168581.19849500002	11249.1590904	2515.78948
19	3866	9	168509.745026	11272.6988031	2495.47474
19	3866	10	168423.545665	11608.9039768	2228.9838729999997
19	3866	11	168434.584896	11208.7780331	2349.7498795
19	3866	12	168371.13772	11277.9326451	2405.5693214999997
19	3866	13	168423.73364000002	11382.9489422	2266.48957625
19	3866	14	168507.06836499998	11408.096392200001	2306.1825790000003
19	3866	15	168339.51054000002	11613.3782865	2249.54087925
19	3866	19	168239.967941	11404.2359522	2450.6441815
19	3866	20	168350.467474	11338.8393879	2335.7855870000003
19	3866	21	168207.969446	11177.0118134	2275.5882955
19	3866	24	168459.081592	10583.2261246	2192.14852625
19	3866	31	168459.957298	10535.994702099999	2182.9638215
19	3866	34	168096.361736	10250.3244287	2205.6719915
19	3866	35	168417.023087	10423.3592684	2219.01610175
19	3866	37	168381.99598	10509.409887099999	2369.5144197500003
19	3866	38	168473.508905	10469.5537281	2218.91688375
19	3866	39	168527.502123	10378.175125400001	2274.143897
19	3866	40	168652.800902	10119.55241201	2289.06269
19	3866	42	168809.713162	10179.20545014	2039.32852875
19	3866	46	168661.360305	10773.9707019	2522.936275
19	3866	48	168339.021702	10116.21102609	2316.8003875
19	3866	51	168139.44220700001	10262.00961184	2285.26347025
19	3866	58	168185.025578	10256.87726707	2184.146774
19	3867	8	172436.559153	15150.430062	2263.7368914999997
19	3867	15	172399.17787800002	15070.769635400002	2292.7432115
19	3867	17	172451.25406	15044.6439532	2284.2457732499997
19	3867	24	172936.803785	15044.406569100001	2280.46378
19	3867	25	172855.159908	15072.8558386	2221.383077
19	3867	26	172777.683205	14827.667521300002	2397.7415415
19	3867	27	172957.588979	14948.5745554	2112.02450275
19	3867	29	173105.425909	14948.7305283	2140.15107675
19	3867	30	173161.786788	14931.3279882	1835.1646145
19	3867	34	173077.348006	15169.6008546	2178.047661
19	3867	36	172511.89613399998	14807.653684	2075.63160275
19	3867	39	172545.977598	14819.563646100001	2251.4053525
19	3867	42	172736.85740399998	14947.2422504	2332.8076192500002
19	3867	44	172635.506949	14975.0396844	2332.8788465
19	3867	46	172833.656392	14938.51333	2401.52315175
19	3867	50	173336.93746400002	14980.5131971	2822.5910675
19	3867	51	173217.72680899999	14854.4133974	2311.5531392499997
19	3867	52	173345.530548	14815.3362377	2237.70482175
19	3867	53	173303.514273	14926.971592900001	2262.17234625
19	3867	55	173394.472543	14785.3914082	2052.31941125
19	3867	58	173272.25325799998	14855.805257	2227.61872925
19	3867	60	172933.286747	14681.9348195	2323.77396775
19	3868	1	40146.6943136	81069.7117297	4270.9935000000005
19	3868	2	39912.5138741	81114.0937602	4418.1942275
19	3868	3	40140.3654683	81096.3063812	4327.8370375
19	3868	7	40153.271636100006	81010.714061	5106.37068
19	3868	8	40066.6526119	81176.4041458	4296.3360275
19	3868	9	39948.853201100006	81188.7277971	4480.3000600000005
19	3868	11	40222.2935223	81108.0282138	4255.1502550000005
19	3868	16	40478.1730748	81415.4112168	4208.6835575
19	3868	17	40446.1061775	81441.6845495	4193.9470725
19	3868	18	40369.7743607	81356.9250873	4264.426152499999
19	3868	21	40132.850032099996	81171.6805143	4376.980815
19	3868	22	40243.0704248	81238.382995	4348.11178
19	3868	23	40210.123485200005	81221.4773784	4451.4507825
19	3868	24	40337.193308	81459.2813064	4181.792595
19	3868	25	40019.8853795	81603.0260979	4373.26239
19	3868	26	39917.8473583	81534.8613571	4336.00855
19	3868	38	39868.319427200004	81479.9873655	4474.48256
19	3868	42	39637.886962	81668.6569975	4289.7126
19	3868	43	39752.6386852	81705.9800157	4103.0727525
19	3868	45	39985.741858	81809.6782321	3961.7041225
19	3868	46	39833.676984000005	81969.5923962	3982.7537675000003
19	3868	47	39869.5896026	81915.81685840001	3994.07298
19	3868	48	40083.2468286	81685.6126412	4027.5794349999996
19	3868	50	39904.061622	81847.1264983	4001.0445575000003
19	3868	51	40049.3548846	81899.2681265	4074.292075
19	3868	52	40168.8899484	81555.5074702	4041.3275925000003
19	3868	53	40117.824402399994	81652.1306372	4020.9046524999994
19	3868	55	40227.3271941	81415.4895792	4292.843330000001
19	3868	56	40008.920967699996	81439.4154595	4303.617125
19	3868	59	39736.0701052	81688.7415649	4328.5721324999995
19	3868	60	39994.0442657	81418.68245559999	4339.7699325
19	3869	2	39786.859776	71564.7121621	2441.5294630000003
19	3869	3	39817.946638600006	71628.0307529	2344.21263925
19	3869	6	39938.996132	71540.30468470001	2243.829888
19	3869	7	39961.3149445	71684.29179399999	2377.660324
19	3869	9	40037.6470188	71512.2312004	2457.241301
19	3869	11	40207.1886959	71463.4091592	2311.95483525
19	3869	12	40228.332093	71485.0867246	2359.4230070000003
19	3869	13	40240.7242702	71543.2418018	2418.9792027500002
19	3869	14	40150.4382503	71523.47467010001	2305.770406
19	3869	15	40121.162199800005	71607.13943800001	2286.77767975
19	3869	16	39934.688208499996	71780.2589437	2358.55278425
19	3869	17	39902.107918	71661.8776756	2234.159009
19	3869	18	40138.6239752	71946.331416	2332.6530065
19	3869	20	40261.7799525	72126.35325039999	2235.017738
19	3869	21	40042.660039099996	71828.3460284	2159.0484195
19	3869	23	40226.5309217	72029.6659041	2254.51855175
19	3869	28	40431.0020412	71873.2185552	2235.0634795
19	3869	30	40493.2559416	72262.4663393	2321.518095
19	3869	33	40264.8968355	72218.3173154	2267.8853612499997
19	3869	37	40352.2228723	72235.8206616	3062.707155
19	3869	39	40381.0533757	71892.4738696	3052.07994
19	3869	41	40358.4662379	71901.59396340001	2841.334355
19	3869	44	40103.2430426	72322.8937098	2418.7189015000004
19	3869	50	40281.6118403	71780.98605159999	2757.1313824999997
19	3869	51	40036.517922499996	72377.0671263	2238.815743
19	3869	53	40303.6660767	71977.9466789	3184.148195
19	3869	54	40176.0911831	72476.7670063	2554.5133175
19	3869	55	40179.0984123	72538.6416607	2505.14
19	3869	56	40257.8048323	72088.23151869999	3218.2084325
19	3869	59	40383.9839935	72095.3716229	2694.3672325
19	3870	3	94149.18946180001	79480.5130804	3505.10011
19	3870	11	94429.1045072	79669.0980876	3318.5490225
19	3870	12	94348.5283694	79725.2442116	3172.691085
19	3870	13	94300.0586809	79606.8969129	3115.07836
19	3870	17	94469.5524939	79476.10928450001	3556.093575
19	3870	18	94248.2225301	79309.2779597	3931.2112125
19	3870	20	94364.75572069999	79510.6359248	3346.0070175
19	3870	21	94280.3502386	79506.4068066	3059.3457000000003
19	3870	23	94233.92977629999	79452.0672408	3225.580865
19	3870	36	94495.8068437	79146.4059549	3175.2555175
19	3870	39	94606.0322731	79140.52617930001	2743.172975
19	3870	41	94262.32544459999	79772.4813506	3798.3019675
19	3870	42	94729.18063870001	79189.74524430001	2644.13634
19	3870	46	94723.9681383	79040.4762744	2672.478955
19	3870	47	94645.1618804	79169.45939429999	2644.0813924999998
19	3870	49	94409.8216815	79194.7790294	2732.1347674999997
19	3870	50	94444.0816342	79221.4797606	2744.598795
19	3870	51	94550.4387544	79071.25232419999	2638.8449650000002
19	3870	52	94566.639027	79202.0077548	2724.0076325
19	3870	53	94624.8497036	79150.0643295	2755.1374100000003
19	3870	54	94578.2219023	79161.884661	2766.77811
19	3870	56	94466.1469019	78884.5459546	2501.9680224999997
19	3870	57	94728.3215775	79285.2462263	2642.5877025
19	3870	58	94380.5285021	79635.4577314	3658.240745
19	3870	59	94471.4672536	79265.8628108	2672.5798625
19	3870	60	94459.46291259999	79563.9370343	4168.362415
19	3871	9	97640.84016600001	78886.3168027	2265.93143125
19	3871	12	97498.55995210001	78857.294194	2073.2415305
19	3871	17	97350.98818530001	79186.6943225	2095.333761
19	3871	18	97371.9008727	79037.98050199999	2178.6042565
19	3871	19	97541.2127362	78866.01734640001	2116.73864325
19	3871	24	97897.47102109999	78829.1028056	2379.6756
19	3871	29	97789.967171	79051.25061	2475.5694035
19	3871	30	97828.2950366	78905.7288522	3024.04368
19	3871	31	97902.2842523	78985.4204981	2488.3335995
19	3871	32	97560.16685800001	78886.2908364	2458.898601
19	3871	33	97563.5661155	78868.4938063	2377.7485454999996
19	3871	35	97614.2604186	78808.1642755	2487.672909
19	3871	36	97633.9362099	78783.721912	2637.3756525
19	3871	37	97594.370377	78784.772615	2621.0818875
19	3871	40	97579.43039180001	78795.4876947	2438.3391745
19	3871	41	97834.1829389	78913.3431478	2424.267737
19	3871	46	97445.3301289	78791.5934604	2440.44075275
19	3871	48	97573.8891566	78917.78805100001	2473.38436125
19	3871	49	97501.5884508	78918.76596389999	2397.75903925
19	3871	50	97437.212462	78957.5555373	2385.83610925
19	3871	51	97546.3284887	78909.2668919	2526.2654850000004
19	3871	52	97734.5772627	78948.9922512	2464.3351185
19	3871	53	97640.5290236	78980.08898120001	2388.9164487499997
19	3871	54	97619.5692858	79010.020431	2511.9972125
19	3871	55	97771.2670369	78918.6036462	2539.0280399999997
19	3871	56	97731.308259	79009.35778050001	2536.990705
19	3871	57	97674.6028141	79232.0936119	2601.8418225
19	3871	58	97635.7827218	79176.53405229999	2559.61557
