chr	start	end	pos
13	21475000	21500000	1
13	21500000	21525000	2
13	21525000	21550000	3
13	21550000	21575000	4
13	21575000	21600000	5
13	21600000	21625000	6
13	21625000	21650000	7
13	21650000	21675000	8
13	21675000	21700000	9
13	21700000	21725000	10
13	21725000	21750000	11
13	21750000	21775000	12
13	21775000	21800000	13
13	21850000	21875000	14
13	21875000	21900000	15
13	21900000	21925000	16
13	21925000	21950000	17
13	21950000	21975000	18
13	21975000	22000000	19
13	22000000	22025000	20
13	22025000	22050000	21
13	22050000	22075000	22
13	22225000	22250000	23
13	22250000	22275000	24
13	22275000	22300000	25
13	22300000	22325000	26
13	22325000	22350000	27
13	22350000	22375000	28
13	22375000	22400000	29
13	22450000	22475000	30
13	22475000	22500000	31
13	22825000	22850000	32
13	22850000	22875000	33
13	23000000	23025000	34
13	23025000	23050000	35
13	23050000	23075000	36
13	23075000	23100000	37
13	23125000	23150000	38
13	23150000	23175000	39
13	23275000	23300000	40
13	23300000	23325000	41
13	23325000	23350000	42
13	23350000	23375000	43
13	23375000	23400000	44
13	23400000	23425000	45
13	23425000	23450000	46
13	23450000	23475000	47
13	23475000	23500000	48
13	23500000	23525000	49
13	23525000	23550000	50
13	23550000	23575000	51
13	23575000	23600000	52
13	23600000	23625000	53
13	23625000	23650000	54
13	23650000	23675000	55
13	23675000	23700000	56
13	23700000	23725000	57
13	23725000	23750000	58
13	23750000	23775000	59
13	23775000	23800000	60
